Code	Sex	N	Area2	Area1	i.dist	u.dist	a.dist	Duration	Intensity	Speaker	T	Name	Evaluator	Score	Task
A001	M	243	68	36	77	86	84	74	70.0	14	1	M14T1Dapre	A	10	Dapre
A002	M	232	77	42	99	95	71	72	69.8	18	0	M18T0Dapre	A	9	Dapre
A003	M	159	74	37	95	77	85	62	70.0	07	1	M07T1Dapre	A	9	Dapre
A004	M	173	69	35	89	80	80	68	70.0	06	0	M06T0Dapre	A	9	Dapre
A005	M	186	60	32	88	72	73	62	70.0	24	2	M24T2Dapre	A	9	Dapre
A006	M	188	80	41	96	86	87	56	70.0	07	0	M07T0Dapre	A	10	Dapre
A007	M	214	66	34	87	89	68	83	70.0	17	0	M17T0Dapre	A	8	Dapre
A008	F	180	100	53	118	87	97	55	70.0	10	0	F10T0Dapre	A	9	Dapre
A009	F	219	92	48	123	76	92	62	70.0	09	2	F09T2Dapre	A	9	Dapre
A010	F	235	62	33	107	55	79	65	70.0	08	1	F08T1Dapre	A	8	Dapre
A011	F	204	72	40	102	56	102	57	69.7	11	1	F11T1Dapre	A	8	Dapre
A012	F	128	87	46	117	62	105	51	70.0	21	2	F21T2Dapre	A	7	Dapre
A013	M	176	96	52	101	88	105	67	70.0	28	2	M28T2Dapre	A	8	Dapre
A014	M	145	74	41	110	49	107	69	70.0	28	1	M28T1Dapre	A	6	Dapre
A015	M	177	61	32	88	79	68	60	70.0	24	1	M24T1Dapre	A	8	Dapre
A016	F	186	93	51	112	86	92	56	69.6	13	0	F13T0Dapre	A	9	Dapre
A017	F	197	94	50	105	103	84	59	70.0	11	0	F11T0Dapre	A	10	Dapre
A018	F	228	104	55	121	78	110	80	70.0	21	0	F21T0Dapre	A	8	Dapre
A019	M	212	50	26	82	73	58	85	70.0	16	0	M16T0Dapre	A	8	Dapre
A020	M	156	118	62	107	103	115	58	70.0	30	1	M30T1Dapre	A	9	Dapre
A021	M	197	82	41	86	98	88	62	70.0	27	0	M27T0Dapre	A	8	Dapre
A022	F	232	90	49	116	71	101	79	70.0	19	2	F19T2Dapre	A	9	Dapre
A023	F	169	91	47	127	75	88	55	70.0	10	1	F10T1Dapre	A	8	Dapre
A024	F	186	92	48	116	108	66	69	70.0	03	1	F03T1Dapre	A	7	Dapre
A025	F	215	68	37	103	51	98	59	70.0	11	2	F11T2Dapre	A	7	Dapre
A026	F	197	84	44	113	76	88	59	70.0	22	2	F22T2Dapre	A	8	Dapre
A027	M	170	74	39	99	91	69	59	70.0	30	0	M30T0Dapre	A	8	Dapre
A028	F	228	98	54	119	92	88	84	70.0	19	1	F19T1Dapre	A	10	Dapre
A029	M	180	42	24	62	54	80	63	70.0	12	1	M12T1Dapre	A	5	Dapre
A030	M	236	59	31	76	78	76	91	70.0	17	1	M17T1Dapre	A	7	Dapre
A031	M	242	72	38	102	60	95	74	70.0	18	2	M18T2Dapre	A	7	Dapre
A032	M	230	48	25	81	49	79	74	70.0	20	0	M20T0Dapre	A	7	Dapre
A033	F	212	102	54	131	87	89	65	70.0	09	1	F09T1Dapre	A	8	Dapre
A034	M	180	96	51	97	95	102	56	70.0	30	2	M30T2Dapre	A	8	Dapre
A035	F	117	83	44	103	64	109	45	70.0	01	2	F01T2Dapre	A	4	Dapre
A036	M	163	104	54	105	85	117	64	70.0	23	1	M23T1Dapre	A	8	Dapre
A037	F	220	96	51	116	94	85	87	70.0	04	2	F04T2Dapre	A	8	Dapre
A038	M	164	114	59	110	99	112	60	70.0	23	2	M23T2Dapre	A	6	Dapre
A039	M	182	94	49	96	113	84	59	70.0	26	2	M26T2Dapre	A	7	Dapre
A040	F	124	78	41	104	66	98	30	70.0	02	2	F02T2Dapre	A	6	Dapre
A041	F	192	77	40	94	65	105	55	70.0	25	1	F25T1Dapre	A	5	Dapre
A042	M	218	39	22	64	48	78	66	70.0	12	2	M12T2Dapre	A	4	Dapre
A043	F	210	90	48	100	97	89	63	70.0	22	0	F22T0Dapre	A	8	Dapre
A044	M	163	59	31	81	92	60	54	70.0	26	0	M26T0Dapre	A	7	Dapre
A045	M	246	62	32	83	82	71	83	70.0	14	0	M14T0Dapre	A	8	Dapre
A046	M	168	79	42	86	65	120	70	70.0	05	2	M05T2Dapre	A	4	Dapre
A047	M	160	77	39	95	85	82	65	70.0	06	1	M06T1Dapre	A	7	Dapre
A048	F	181	77	41	108	64	93	57	70.0	13	1	F13T1Dapre	A	7	Dapre
A049	F	213	90	48	119	84	84	68	70.0	04	0	F04T0Dapre	A	7	Dapre
A050	M	213	70	36	91	77	84	73	70.0	05	0	M05T0Dapre	A	7	Dapre
A051	M	174	125	67	113	126	97	67	70.0	06	2	M06T2Dapre	A	8	Dapre
A052	F	228	90	47	119	71	97	64	70.0	29	1	F29T1Dapre	A	7	Dapre
A053	M	207	67	36	86	77	82	67	70.0	14	2	M14T2Dapre	A	8	Dapre
A054	F	208	104	55	110	105	92	58	70.0	02	0	F02T0Dapre	A	8	Dapre
A055	M	176	64	32	89	83	68	56	70.0	23	0	M23T0Dapre	A	7	Dapre
A056	F	253	86	46	118	73	91	71	70.0	19	0	F19T0Dapre	A	8	Dapre
A057	M	124	105	54	95	112	100	43	70.0	17	2	M17T2Dapre	A	6	Dapre
A058	M	202	58	31	68	94	68	58	70.0	12	0	M12T0Dapre	A	6	Dapre
A059	M	186	102	54	102	87	116	74	70.0	05	1	M05T1Dapre	A	5	Dapre
A060	M	227	86	45	104	70	105	77	70.0	18	1	M18T1Dapre	A	7	Dapre
A061	F	216	100	55	111	93	96	60	70.0	25	0	F25T0Dapre	A	9	Dapre
A062	M	162	53	29	69	86	64	54	69.9	26	1	M26T1Dapre	A	7	Dapre
A063	M	133	75	40	98	73	89	70	70.0	15	2	M15T2Dapre	A	7	Dapre
A064	F	155	98	51	131	81	89	55	70.0	10	2	F10T2Dapre	A	8	Dapre
A065	M	186	61	32	90	78	67	59	70.0	24	0	M24T0Dapre	A	8	Dapre
A066	M	200	71	37	88	84	81	60	70.0	27	1	M27T1Dapre	A	8	Dapre
A067	F	207	82	44	97	58	123	80	70.0	01	1	F01T1Dapre	A	5	Dapre
A068	F	230	101	54	123	89	91	60	70.0	29	0	F29T0Dapre	A	7	Dapre
A069	M	169	47	25	87	45	77	77	70.0	16	2	M16T2Dapre	A	5	Dapre
A070	F	217	84	44	118	62	99	63	70.0	29	2	F29T2Dapre	A	6	Dapre
A071	F	210	106	56	128	90	93	65	70.0	09	0	F09T0Dapre	A	8	Dapre
A072	M	156	110	60	109	95	112	60	69.9	07	2	M07T2Dapre	A	7	Dapre
A073	M	249	46	24	76	58	69	83	70.0	20	1	M20T1Dapre	A	7	Dapre
A074	M	184	83	43	89	87	98	78	70.0	16	1	M16T1Dapre	A	7	Dapre
A075	F	236	90	49	114	93	80	70	70.0	08	0	F08T0Dapre	A	8	Dapre
A076	F	199	168	91	124	148	118	63	69.9	03	2	F03T2Dapre	A	8	Dapre
A077	F	216	93	49	110	98	82	65	70.0	03	0	F03T0Dapre	A	8	Dapre
A078	M	236	53	28	78	53	89	89	70.0	20	2	M20T2Dapre	A	5	Dapre
A079	M	173	48	25	76	62	69	67	70.0	28	0	M28T0Dapre	A	6	Dapre
A080	F	108	138	78	109	141	104	32	69.9	08	2	F08T2Dapre	A	6	Dapre
A081	M	115	86	46	108	70	102	69	70.0	15	1	M15T1Dapre	A	7	Dapre
A082	F	114	77	39	96	60	111	28	70.0	25	2	F25T2Dapre	A	6	Dapre
A083	M	188	69	37	87	87	74	59	62.9	27	2	M27T2Dapre	A	7	Dapre
A084	F	177	135	72	118	129	102	55	70.0	13	2	F13T2Dapre	A	8	Dapre
A085	F	191	78	42	106	101	62	80	70.0	01	0	F01T0Dapre	A	8	Dapre
A086	M	155	77	40	96	82	86	67	70.0	15	0	M15T0Dapre	A	7	Dapre
B001	M	180	96	51	97	95	102	56	70.0	30	2	M30T2Dapre	B	7	Dapre
B002	F	208	104	55	110	105	92	58	70.0	02	0	F02T0Dapre	B	10	Dapre
B003	F	228	98	54	119	92	88	84	70.0	19	1	F19T1Dapre	B	9	Dapre
B004	F	192	77	40	94	65	105	55	70.0	25	1	F25T1Dapre	B	5	Dapre
B005	M	115	86	46	108	70	102	69	70.0	15	1	M15T1Dapre	B	6	Dapre
B006	F	169	91	47	127	75	88	55	70.0	10	1	F10T1Dapre	B	8	Dapre
B007	F	117	83	44	103	64	109	45	70.0	01	2	F01T2Dapre	B	3	Dapre
B008	F	212	102	54	131	87	89	65	70.0	09	1	F09T1Dapre	B	7	Dapre
B009	M	159	74	37	95	77	85	62	70.0	07	1	M07T1Dapre	B	4	Dapre
B010	M	227	86	45	104	70	105	77	70.0	18	1	M18T1Dapre	B	5	Dapre
B011	F	197	94	50	105	103	84	59	70.0	11	0	F11T0Dapre	B	7	Dapre
B012	M	156	110	60	109	95	112	60	69.9	07	2	M07T2Dapre	B	5	Dapre
B013	M	214	66	34	87	89	68	83	70.0	17	0	M17T0Dapre	B	3	Dapre
B014	F	177	135	72	118	129	102	55	70.0	13	2	F13T2Dapre	B	6	Dapre
B015	F	228	104	55	121	78	110	80	70.0	21	0	F21T0Dapre	B	3	Dapre
B016	M	197	82	41	86	98	88	62	70.0	27	0	M27T0Dapre	B	3	Dapre
B017	F	199	168	91	124	148	118	63	69.9	03	2	F03T2Dapre	B	6	Dapre
B018	M	200	71	37	88	84	81	60	70.0	27	1	M27T1Dapre	B	5	Dapre
B019	M	207	67	36	86	77	82	67	70.0	14	2	M14T2Dapre	B	7	Dapre
B020	F	236	90	49	114	93	80	70	70.0	08	0	F08T0Dapre	B	9	Dapre
B021	F	155	98	51	131	81	89	55	70.0	10	2	F10T2Dapre	B	6	Dapre
B022	F	124	78	41	104	66	98	30	70.0	02	2	F02T2Dapre	B	2	Dapre
B023	M	133	75	40	98	73	89	70	70.0	15	2	M15T2Dapre	B	8	Dapre
B024	M	186	61	32	90	78	67	59	70.0	24	0	M24T0Dapre	B	7	Dapre
B025	M	186	102	54	102	87	116	74	70.0	05	1	M05T1Dapre	B	3	Dapre
B026	F	219	92	48	123	76	92	62	70.0	09	2	F09T2Dapre	B	8	Dapre
B027	F	180	100	53	118	87	97	55	70.0	10	0	F10T0Dapre	B	5	Dapre
B028	M	186	60	32	88	72	73	62	70.0	24	2	M24T2Dapre	B	4	Dapre
B029	M	184	83	43	89	87	98	78	70.0	16	1	M16T1Dapre	B	7	Dapre
B030	F	253	86	46	118	73	91	71	70.0	19	0	F19T0Dapre	B	7	Dapre
B031	F	197	84	44	113	76	88	59	70.0	22	2	F22T2Dapre	B	5	Dapre
B032	M	249	46	24	76	58	69	83	70.0	20	1	M20T1Dapre	B	4	Dapre
B033	M	173	69	35	89	80	80	68	70.0	06	0	M06T0Dapre	B	4	Dapre
B034	F	216	100	55	111	93	96	60	70.0	25	0	F25T0Dapre	B	8	Dapre
B035	M	242	72	38	102	60	95	74	70.0	18	2	M18T2Dapre	B	3	Dapre
B036	M	202	58	31	68	94	68	58	70.0	12	0	M12T0Dapre	B	6	Dapre
B037	M	160	77	39	95	85	82	65	70.0	06	1	M06T1Dapre	B	7	Dapre
B038	M	163	104	54	105	85	117	64	70.0	23	1	M23T1Dapre	B	7	Dapre
B039	M	213	70	36	91	77	84	73	70.0	05	0	M05T0Dapre	B	6	Dapre
B040	M	230	48	25	81	49	79	74	70.0	20	0	M20T0Dapre	B	4	Dapre
B041	M	162	53	29	69	86	64	54	69.9	26	1	M26T1Dapre	B	5	Dapre
B042	F	108	138	78	109	141	104	32	69.9	08	2	F08T2Dapre	B	2	Dapre
B043	F	207	82	44	97	58	123	80	70.0	01	1	F01T1Dapre	B	2	Dapre
B044	M	176	64	32	89	83	68	56	70.0	23	0	M23T0Dapre	B	4	Dapre
B045	F	186	92	48	116	108	66	69	70.0	03	1	F03T1Dapre	B	4	Dapre
B046	F	230	101	54	123	89	91	60	70.0	29	0	F29T0Dapre	B	5	Dapre
B047	M	169	47	25	87	45	77	77	70.0	16	2	M16T2Dapre	B	4	Dapre
B048	F	216	93	49	110	98	82	65	70.0	03	0	F03T0Dapre	B	9	Dapre
B049	M	163	59	31	81	92	60	54	70.0	26	0	M26T0Dapre	B	3	Dapre
B050	F	186	93	51	112	86	92	56	69.6	13	0	F13T0Dapre	B	6	Dapre
B051	M	188	69	37	87	87	74	59	62.9	27	2	M27T2Dapre	B	4	Dapre
B052	F	232	90	49	116	71	101	79	70.0	19	2	F19T2Dapre	B	5	Dapre
B053	M	246	62	32	83	82	71	83	70.0	14	0	M14T0Dapre	B	7	Dapre
B054	M	177	61	32	88	79	68	60	70.0	24	1	M24T1Dapre	B	7	Dapre
B055	M	173	48	25	76	62	69	67	70.0	28	0	M28T0Dapre	B	3	Dapre
B056	M	145	74	41	110	49	107	69	70.0	28	1	M28T1Dapre	B	1	Dapre
B057	M	124	105	54	95	112	100	43	70.0	17	2	M17T2Dapre	B	6	Dapre
B058	M	174	125	67	113	126	97	67	70.0	06	2	M06T2Dapre	B	7	Dapre
B059	F	217	84	44	118	62	99	63	70.0	29	2	F29T2Dapre	B	5	Dapre
B060	M	188	80	41	96	86	87	56	70.0	07	0	M07T0Dapre	B	7	Dapre
B061	F	204	72	40	102	56	102	57	69.7	11	1	F11T1Dapre	B	4	Dapre
B062	M	212	50	26	82	73	58	85	70.0	16	0	M16T0Dapre	B	5	Dapre
B063	M	232	77	42	99	95	71	72	69.8	18	0	M18T0Dapre	B	7	Dapre
B064	F	235	62	33	107	55	79	65	70.0	08	1	F08T1Dapre	B	4	Dapre
B065	M	170	74	39	99	91	69	59	70.0	30	0	M30T0Dapre	B	7	Dapre
B066	M	236	59	31	76	78	76	91	70.0	17	1	M17T1Dapre	B	5	Dapre
B067	M	155	77	40	96	82	86	67	70.0	15	0	M15T0Dapre	B	3	Dapre
B068	M	218	39	22	64	48	78	66	70.0	12	2	M12T2Dapre	B	1	Dapre
B069	M	168	79	42	86	65	120	70	70.0	05	2	M05T2Dapre	B	1	Dapre
B070	F	213	90	48	119	84	84	68	70.0	04	0	F04T0Dapre	B	7	Dapre
B071	F	220	96	51	116	94	85	87	70.0	04	2	F04T2Dapre	B	6	Dapre
B072	M	164	114	59	110	99	112	60	70.0	23	2	M23T2Dapre	B	6	Dapre
B073	M	156	118	62	107	103	115	58	70.0	30	1	M30T1Dapre	B	8	Dapre
B074	F	210	90	48	100	97	89	63	70.0	22	0	F22T0Dapre	B	8	Dapre
B075	F	228	90	47	119	71	97	64	70.0	29	1	F29T1Dapre	B	6	Dapre
B076	F	215	68	37	103	51	98	59	70.0	11	2	F11T2Dapre	B	6	Dapre
B077	F	128	87	46	117	62	105	51	70.0	21	2	F21T2Dapre	B	2	Dapre
B078	M	182	94	49	96	113	84	59	70.0	26	2	M26T2Dapre	B	6	Dapre
B079	F	181	77	41	108	64	93	57	70.0	13	1	F13T1Dapre	B	3	Dapre
B080	M	236	53	28	78	53	89	89	70.0	20	2	M20T2Dapre	B	2	Dapre
B081	F	191	78	42	106	101	62	80	70.0	01	0	F01T0Dapre	B	7	Dapre
B082	M	176	96	52	101	88	105	67	70.0	28	2	M28T2Dapre	B	4	Dapre
B083	F	114	77	39	96	60	111	28	70.0	25	2	F25T2Dapre	B	2	Dapre
B084	M	180	42	24	62	54	80	63	70.0	12	1	M12T1Dapre	B	2	Dapre
B085	F	210	106	56	128	90	93	65	70.0	09	0	F09T0Dapre	B	6	Dapre
B086	M	243	68	36	77	86	84	74	70.0	14	1	M14T1Dapre	B	7	Dapre
C001	F	219	92	48	123	76	92	62	70.0	09	2	F09T2Dapre	C	9	Dapre
C002	M	156	110	60	109	95	112	60	69.9	07	2	M07T2Dapre	C	8	Dapre
C003	F	186	92	48	116	108	66	69	70.0	03	1	F03T1Dapre	C	6	Dapre
C004	M	186	102	54	102	87	116	74	70.0	05	1	M05T1Dapre	C	5	Dapre
C005	F	197	84	44	113	76	88	59	70.0	22	2	F22T2Dapre	C	6	Dapre
C006	M	197	82	41	86	98	88	62	70.0	27	0	M27T0Dapre	C	6	Dapre
C007	M	145	74	41	110	49	107	69	70.0	28	1	M28T1Dapre	C	6	Dapre
C008	M	242	72	38	102	60	95	74	70.0	18	2	M18T2Dapre	C	7	Dapre
C009	F	216	93	49	110	98	82	65	70.0	03	0	F03T0Dapre	C	8	Dapre
C010	M	188	80	41	96	86	87	56	70.0	07	0	M07T0Dapre	C	8	Dapre
C011	F	155	98	51	131	81	89	55	70.0	10	2	F10T2Dapre	C	5	Dapre
C012	M	213	70	36	91	77	84	73	70.0	05	0	M05T0Dapre	C	7	Dapre
C013	F	204	72	40	102	56	102	57	69.7	11	1	F11T1Dapre	C	10	Dapre
C014	F	117	83	44	103	64	109	45	70.0	01	2	F01T2Dapre	C	8	Dapre
C015	M	232	77	42	99	95	71	72	69.8	18	0	M18T0Dapre	C	9	Dapre
C016	F	220	96	51	116	94	85	87	70.0	04	2	F04T2Dapre	C	10	Dapre
C017	M	236	59	31	76	78	76	91	70.0	17	1	M17T1Dapre	C	8	Dapre
C018	M	207	67	36	86	77	82	67	70.0	14	2	M14T2Dapre	C	9	Dapre
C019	F	230	101	54	123	89	91	60	70.0	29	0	F29T0Dapre	C	9	Dapre
C020	M	243	68	36	77	86	84	74	70.0	14	1	M14T1Dapre	C	8	Dapre
C021	F	192	77	40	94	65	105	55	70.0	25	1	F25T1Dapre	C	6	Dapre
C022	F	177	135	72	118	129	102	55	70.0	13	2	F13T2Dapre	C	8	Dapre
C023	M	180	96	51	97	95	102	56	70.0	30	2	M30T2Dapre	C	10	Dapre
C024	F	235	62	33	107	55	79	65	70.0	08	1	F08T1Dapre	C	6	Dapre
C025	M	188	69	37	87	87	74	59	62.9	27	2	M27T2Dapre	C	8	Dapre
C026	M	163	104	54	105	85	117	64	70.0	23	1	M23T1Dapre	C	10	Dapre
C027	F	208	104	55	110	105	92	58	70.0	02	0	F02T0Dapre	C	10	Dapre
C028	M	115	86	46	108	70	102	69	70.0	15	1	M15T1Dapre	C	9	Dapre
C029	M	230	48	25	81	49	79	74	70.0	20	0	M20T0Dapre	C	7	Dapre
C030	M	162	53	29	69	86	64	54	69.9	26	1	M26T1Dapre	C	7	Dapre
C031	M	202	58	31	68	94	68	58	70.0	12	0	M12T0Dapre	C	7	Dapre
C032	M	246	62	32	83	82	71	83	70.0	14	0	M14T0Dapre	C	7	Dapre
C033	M	163	59	31	81	92	60	54	70.0	26	0	M26T0Dapre	C	6	Dapre
C034	M	176	96	52	101	88	105	67	70.0	28	2	M28T2Dapre	C	9	Dapre
C035	F	215	68	37	103	51	98	59	70.0	11	2	F11T2Dapre	C	7	Dapre
C036	M	218	39	22	64	48	78	66	70.0	12	2	M12T2Dapre	C	4	Dapre
C037	M	156	118	62	107	103	115	58	70.0	30	1	M30T1Dapre	C	9	Dapre
C038	M	159	74	37	95	77	85	62	70.0	07	1	M07T1Dapre	C	9	Dapre
C039	M	133	75	40	98	73	89	70	70.0	15	2	M15T2Dapre	C	9	Dapre
C040	M	186	61	32	90	78	67	59	70.0	24	0	M24T0Dapre	C	7	Dapre
C041	M	170	74	39	99	91	69	59	70.0	30	0	M30T0Dapre	C	8	Dapre
C042	F	210	106	56	128	90	93	65	70.0	09	0	F09T0Dapre	C	10	Dapre
C043	M	176	64	32	89	83	68	56	70.0	23	0	M23T0Dapre	C	6	Dapre
C044	F	216	100	55	111	93	96	60	70.0	25	0	F25T0Dapre	C	10	Dapre
C045	M	236	53	28	78	53	89	89	70.0	20	2	M20T2Dapre	C	3	Dapre
C046	M	177	61	32	88	79	68	60	70.0	24	1	M24T1Dapre	C	6	Dapre
C047	F	199	168	91	124	148	118	63	69.9	03	2	F03T2Dapre	C	8	Dapre
C048	M	200	71	37	88	84	81	60	70.0	27	1	M27T1Dapre	C	8	Dapre
C049	F	207	82	44	97	58	123	80	70.0	01	1	F01T1Dapre	C	5	Dapre
C050	M	173	48	25	76	62	69	67	70.0	28	0	M28T0Dapre	C	5	Dapre
C051	F	228	90	47	119	71	97	64	70.0	29	1	F29T1Dapre	C	7	Dapre
C052	F	128	87	46	117	62	105	51	70.0	21	2	F21T2Dapre	C	9	Dapre
C053	F	213	90	48	119	84	84	68	70.0	04	0	F04T0Dapre	C	9	Dapre
C054	M	168	79	42	86	65	120	70	70.0	05	2	M05T2Dapre	C	3	Dapre
C055	M	212	50	26	82	73	58	85	70.0	16	0	M16T0Dapre	C	5	Dapre
C056	F	181	77	41	108	64	93	57	70.0	13	1	F13T1Dapre	C	6	Dapre
C057	F	232	90	49	116	71	101	79	70.0	19	2	F19T2Dapre	C	10	Dapre
C058	F	228	98	54	119	92	88	84	70.0	19	1	F19T1Dapre	C	10	Dapre
C059	M	180	42	24	62	54	80	63	70.0	12	1	M12T1Dapre	C	9	Dapre
C060	M	227	86	45	104	70	105	77	70.0	18	1	M18T1Dapre	C	7	Dapre
C061	M	169	47	25	87	45	77	77	70.0	16	2	M16T2Dapre	C	5	Dapre
C062	F	108	138	78	109	141	104	32	69.9	08	2	F08T2Dapre	C	7	Dapre
C063	F	217	84	44	118	62	99	63	70.0	29	2	F29T2Dapre	C	8	Dapre
