ID	Speaker	Sex	T	Audio	Rating	Evaluator
S003	03	F	0	F03T0DapreS2	532	1
S209	09	F	2	F09T2DapreS2	675	1
S017	17	M	0	M17T0DapreS2	211	1
S014	14	M	0	M14T0DapreS2	254	1
S026	26	M	0	M26T0DapreS2	994	1
S013	13	F	0	F13T0DapreS2	885	1
S004	04	F	0	F04T0DapreS2	460	1
S029	29	F	0	F29T0DapreS2	946	1
S008	08	F	0	F08T0DapreS2	444	1
S120	20	M	1	M20T1DapreS2	19	1
S220	20	M	2	M20T2DapreS2	273	1
S223	23	M	2	M23T2DapreS2	772	1
S106	06	M	1	M06T1DapreS2	921	1
S024	24	M	0	M24T0DapreS2	632	1
S129	29	F	1	F29T1DapreS2	1000	1
S208	08	F	2	F08T2DapreS2	467	1
S007	07	M	0	M07T0DapreS2	996	1
S018	18	M	0	M18T0DapreS2	960	1
S226	26	M	2	M26T2DapreS2	703	1
S005	05	M	0	M05T0DapreS2	560	1
S229	29	F	2	F29T2DapreS2	894	1
S124	24	M	1	M24T1DapreS2	441	1
S020	20	M	0	M20T0DapreS2	243	1
S115	15	M	1	M15T1DapreS2	178	1
S216	16	M	2	M16T2DapreS2	381	1
S009	09	F	0	F09T0DapreS2	701	1
S109	09	F	1	F09T1DapreS2	985	1
S222	22	F	2	F22T2DapreS2	972	1
S030	30	M	0	M30T0DapreS2	664	1
S113	13	F	1	F13T1DapreS2	810	1
S214	14	M	2	M14T2DapreS2	325	1
S116	16	M	1	M16T1DapreS2	344	1
S021	21	F	0	F21T0DapreS2	991	1
S118	18	M	1	M18T1DapreS2	842	1
S001	01	F	0	F01T0DapreS2	313	1
S125	25	F	1	F25T1DapreS2	451	1
S123	23	M	1	M23T1DapreS2	155	1
S202	02	F	2	F02T2DapreS2	826	1
S107	07	M	1	M07T1DapreS2	994	1
S210	10	F	2	F10T2DapreS2	567	1
S230	30	M	2	M30T2DapreS2	994	1
S128	28	M	1	M28T1DapreS2	814	1
S205	05	M	2	M05T2DapreS2	566	1
S105	05	M	1	M05T1DapreS2	636	1
S227	27	M	2	M27T2DapreS2	563	1
S112	12	M	1	M12T1DapreS2	22	1
S023	23	M	0	M23T0DapreS2	305	1
S101	01	F	1	F01T1DapreS2	17	1
S204	04	F	2	F04T2DapreS2	682	1
S006	06	M	0	M06T0DapreS2	548	1
S114	14	M	1	M14T1DapreS2	270	1
S206	06	M	2	M06T2DapreS2	511	1
S119	19	F	1	F19T1DapreS2	106	1
S016	16	M	0	M16T0DapreS2	219	1
S108	08	F	1	F08T1DapreS2	155	1
S207	07	M	2	M07T2DapreS2	894	1
S019	19	F	0	F19T0DapreS2	464	1
S028	28	M	0	M28T0DapreS2	2	1
S221	21	F	2	F21T2DapreS2	33	1
S215	15	M	2	M15T2DapreS2	481	1
S211	11	F	2	F11T2DapreS2	795	1
S218	18	M	2	M18T2DapreS2	949	1
S201	01	F	2	F01T2DapreS2	43	1
S213	13	F	2	F13T2DapreS2	931	1
S015	15	M	0	M15T0DapreS2	959	1
S228	28	M	2	M28T2DapreS2	597	1
S002	02	F	0	F02T0DapreS2	823	1
S219	19	F	2	F19T2DapreS2	7	1
S130	30	M	1	M30T1DapreS2	750	1
S212	12	M	2	M12T2DapreS2	19	1
S103	03	F	1	F03T1DapreS2	470	1
S126	26	M	1	M26T1DapreS2	536	1
S012	12	M	0	M12T0DapreS2	831	1
S027	27	M	0	M27T0DapreS2	806	1
S225	25	F	2	F25T2DapreS2	615	1
S110	10	F	1	F10T1DapreS2	789	1
S127	27	M	1	M27T1DapreS2	779	1
S224	24	M	2	M24T2DapreS2	408	1
S217	17	M	2	M17T2DapreS2	446	1
S011	11	F	0	F11T0DapreS2	348	1
S010	10	F	0	F10T0DapreS2	731	1
S111	11	F	1	F11T1DapreS2	937	1
S025	25	F	0	F25T0DapreS2	731	1
S117	17	M	1	M17T1DapreS2	40	1
S022	22	F	0	F22T0DapreS2	963	1
S203	03	F	2	F03T2DapreS2	470	1
S115	15	M	1	M15T1DapreS2	452	2
S012	12	M	0	M12T0DapreS2	952	2
S225	25	F	2	F25T2DapreS2	573	2
S010	10	F	0	F10T0DapreS2	903	2
S112	12	M	1	M12T1DapreS2	218	2
S117	17	M	1	M17T1DapreS2	461	2
S125	25	F	1	F25T1DapreS2	749	2
S019	19	F	0	F19T0DapreS2	620	2
S119	19	F	1	F19T1DapreS2	616	2
S219	19	F	2	F19T2DapreS2	595	2
S023	23	M	0	M23T0DapreS2	831	2
S230	30	M	2	M30T2DapreS2	671	2
S004	04	F	0	F04T0DapreS2	576	2
S105	05	M	1	M05T1DapreS2	664	2
S028	28	M	0	M28T0DapreS2	463	2
S107	07	M	1	M07T1DapreS2	981	2
S001	01	F	0	F01T0DapreS2	854	2
S009	09	F	0	F09T0DapreS2	972	2
S110	10	F	1	F10T1DapreS2	951	2
S026	26	M	0	M26T0DapreS2	878	2
S128	28	M	1	M28T1DapreS2	742	2
S208	08	F	2	F08T2DapreS2	482	2
S024	24	M	0	M24T0DapreS2	630	2
S228	28	M	2	M28T2DapreS2	475	2
S129	29	F	1	F29T1DapreS2	861	2
S124	24	M	1	M24T1DapreS2	900	2
S223	23	M	2	M23T2DapreS2	900	2
S015	15	M	0	M15T0DapreS2	740	2
S222	22	F	2	F22T2DapreS2	925	2
S205	05	M	2	M05T2DapreS2	724	2
S206	06	M	2	M06T2DapreS2	819	2
S127	27	M	1	M27T1DapreS2	776	2
S210	10	F	2	F10T2DapreS2	937	2
S216	16	M	2	M16T2DapreS2	330	2
S014	14	M	0	M14T0DapreS2	407	2
S203	03	F	2	F03T2DapreS2	353	2
S120	20	M	1	M20T1DapreS2	648	2
S227	27	M	2	M27T2DapreS2	975	2
S007	07	M	0	M07T0DapreS2	964	2
S005	05	M	0	M05T0DapreS2	457	2
S030	30	M	0	M30T0DapreS2	906	2
S006	06	M	0	M06T0DapreS2	477	2
S111	11	F	1	F11T1DapreS2	627	2
S109	09	F	1	F09T1DapreS2	847	2
S114	14	M	1	M14T1DapreS2	484	2
S018	18	M	0	M18T0DapreS2	965	2
S101	01	F	1	F01T1DapreS2	167	2
S025	25	F	0	F25T0DapreS2	858	2
S217	17	M	2	M17T2DapreS2	424	2
S220	20	M	2	M20T2DapreS2	493	2
S106	06	M	1	M06T1DapreS2	516	2
S215	15	M	2	M15T2DapreS2	877	2
S218	18	M	2	M18T2DapreS2	964	2
S202	02	F	2	F02T2DapreS2	462	2
S224	24	M	2	M24T2DapreS2	880	2
S226	26	M	2	M26T2DapreS2	872	2
S027	27	M	0	M27T0DapreS2	861	2
S013	13	F	0	F13T0DapreS2	456	2
S207	07	M	2	M07T2DapreS2	854	2
S113	13	F	1	F13T1DapreS2	424	2
S116	16	M	1	M16T1DapreS2	246	2
S213	13	F	2	F13T2DapreS2	395	2
S011	11	F	0	F11T0DapreS2	982	2
S002	02	F	0	F02T0DapreS2	956	2
S211	11	F	2	F11T2DapreS2	470	2
S017	17	M	0	M17T0DapreS2	707	2
S016	16	M	0	M16T0DapreS2	512	2
S130	30	M	1	M30T1DapreS2	646	2
S209	09	F	2	F09T2DapreS2	908	2
S204	04	F	2	F04T2DapreS2	251	2
S022	22	F	0	F22T0DapreS2	649	2
S108	08	F	1	F08T1DapreS2	382	2
S214	14	M	2	M14T2DapreS2	787	2
S020	20	M	0	M20T0DapreS2	565	2
S229	29	F	2	F29T2DapreS2	938	2
S212	12	M	2	M12T2DapreS2	187	2
S123	23	M	1	M23T1DapreS2	536	2
S221	21	F	2	F21T2DapreS2	98	2
S021	21	F	0	F21T0DapreS2	850	2
S126	26	M	1	M26T1DapreS2	902	2
S008	08	F	0	F08T0DapreS2	756	2
S103	03	F	1	F03T1DapreS2	876	2
S201	01	F	2	F01T2DapreS2	33	2
S118	18	M	1	M18T1DapreS2	968	2
S029	29	F	0	F29T0DapreS2	972	2
S003	03	F	0	F03T0DapreS2	952	2
S219	19	F	2	F19T2DapreS2	70	3
S203	03	F	2	F03T2DapreS2	947	3
S123	23	M	1	M23T1DapreS2	785	3
S004	04	F	0	F04T0DapreS2	591	3
S118	18	M	1	M18T1DapreS2	440	3
S106	06	M	1	M06T1DapreS2	776	3
S103	03	F	1	F03T1DapreS2	974	3
S110	10	F	1	F10T1DapreS2	876	3
S127	27	M	1	M27T1DapreS2	885	3
S002	02	F	0	F02T0DapreS2	856	3
S221	21	F	2	F21T2DapreS2	126	3
S015	15	M	0	M15T0DapreS2	760	3
S105	05	M	1	M05T1DapreS2	637	3
S120	20	M	1	M20T1DapreS2	247	3
S226	26	M	2	M26T2DapreS2	859	3
S207	07	M	2	M07T2DapreS2	972	3
S209	09	F	2	F09T2DapreS2	625	3
S220	20	M	2	M20T2DapreS2	327	3
S107	07	M	1	M07T1DapreS2	978	3
S210	10	F	2	F10T2DapreS2	811	3
S218	18	M	2	M18T2DapreS2	438	3
S009	09	F	0	F09T0DapreS2	665	3
S014	14	M	0	M14T0DapreS2	401	3
S109	09	F	1	F09T1DapreS2	610	3
S028	28	M	0	M28T0DapreS2	295	3
S130	30	M	1	M30T1DapreS2	687	3
S114	14	M	1	M14T1DapreS2	552	3
S228	28	M	2	M28T2DapreS2	655	3
S111	11	F	1	F11T1DapreS2	430	3
S017	17	M	0	M17T0DapreS2	413	3
S006	06	M	0	M06T0DapreS2	948	3
S202	02	F	2	F02T2DapreS2	779	3
S211	11	F	2	F11T2DapreS2	336	3
S019	19	F	0	F19T0DapreS2	173	3
S208	08	F	2	F08T2DapreS2	107	3
S001	01	F	0	F01T0DapreS2	566	3
S016	16	M	0	M16T0DapreS2	562	3
S115	15	M	1	M15T1DapreS2	975	3
S011	11	F	0	F11T0DapreS2	712	3
S212	12	M	2	M12T2DapreS2	431	3
S027	27	M	0	M27T0DapreS2	948	3
S214	14	M	2	M14T2DapreS2	679	3
S030	30	M	0	M30T0DapreS2	967	3
S113	13	F	1	F13T1DapreS2	344	3
S229	29	F	2	F29T2DapreS2	577	3
S217	17	M	2	M17T2DapreS2	425	3
S230	30	M	2	M30T2DapreS2	987	3
S117	17	M	1	M17T1DapreS2	375	3
S024	24	M	0	M24T0DapreS2	547	3
S225	25	F	2	F25T2DapreS2	807	3
S116	16	M	1	M16T1DapreS2	332	3
S018	18	M	0	M18T0DapreS2	541	3
S010	10	F	0	F10T0DapreS2	684	3
S216	16	M	2	M16T2DapreS2	262	3
S007	07	M	0	M07T0DapreS2	961	3
S223	23	M	2	M23T2DapreS2	773	3
S101	01	F	1	F01T1DapreS2	168	3
S029	29	F	0	F29T0DapreS2	637	3
S108	08	F	1	F08T1DapreS2	363	3
S126	26	M	1	M26T1DapreS2	750	3
S023	23	M	0	M23T0DapreS2	572	3
S003	03	F	0	F03T0DapreS2	951	3
S119	19	F	1	F19T1DapreS2	81	3
S125	25	F	1	F25T1DapreS2	333	3
S128	28	M	1	M28T1DapreS2	797	3
S025	25	F	0	F25T0DapreS2	743	3
S224	24	M	2	M24T2DapreS2	753	3
S124	24	M	1	M24T1DapreS2	778	3
S204	04	F	2	F04T2DapreS2	214	3
S008	08	F	0	F08T0DapreS2	258	3
S112	12	M	1	M12T1DapreS2	114	3
S206	06	M	2	M06T2DapreS2	830	3
S022	22	F	0	F22T0DapreS2	836	3
S205	05	M	2	M05T2DapreS2	841	3
S129	29	F	1	F29T1DapreS2	844	3
S013	13	F	0	F13T0DapreS2	397	3
S021	21	F	0	F21T0DapreS2	800	3
S213	13	F	2	F13T2DapreS2	565	3
S026	26	M	0	M26T0DapreS2	810	3
S222	22	F	2	F22T2DapreS2	893	3
S005	05	M	0	M05T0DapreS2	428	3
S201	01	F	2	F01T2DapreS2	133	3
S012	12	M	0	M12T0DapreS2	610	3
S215	15	M	2	M15T2DapreS2	333	3
S227	27	M	2	M27T2DapreS2	845	3
S020	20	M	0	M20T0DapreS2	192	3
S226	26	M	2	M26T2DapreS2	843	4
S117	17	M	1	M17T1DapreS2	611	4
S219	19	F	2	F19T2DapreS2	707	4
S028	28	M	0	M28T0DapreS2	634	4
S126	26	M	1	M26T1DapreS2	871	4
S110	10	F	1	F10T1DapreS2	925	4
S010	10	F	0	F10T0DapreS2	945	4
S211	11	F	2	F11T2DapreS2	886	4
S218	18	M	2	M18T2DapreS2	845	4
S201	01	F	2	F01T2DapreS2	408	4
S204	04	F	2	F04T2DapreS2	907	4
S227	27	M	2	M27T2DapreS2	925	4
S230	30	M	2	M30T2DapreS2	931	4
S109	09	F	1	F09T1DapreS2	940	4
S011	11	F	0	F11T0DapreS2	917	4
S023	23	M	0	M23T0DapreS2	905	4
S130	30	M	1	M30T1DapreS2	917	4
S217	17	M	2	M17T2DapreS2	802	4
S128	28	M	1	M28T1DapreS2	861	4
S105	05	M	1	M05T1DapreS2	864	4
S004	04	F	0	F04T0DapreS2	884	4
S022	22	F	0	F22T0DapreS2	900	4
S111	11	F	1	F11T1DapreS2	907	4
S025	25	F	0	F25T0DapreS2	893	4
S221	21	F	2	F21T2DapreS2	392	4
S225	25	F	2	F25T2DapreS2	908	4
S103	03	F	1	F03T1DapreS2	904	4
S203	03	F	2	F03T2DapreS2	893	4
S228	28	M	2	M28T2DapreS2	848	4
S106	06	M	1	M06T1DapreS2	900	4
S027	27	M	0	M27T0DapreS2	902	4
S116	16	M	1	M16T1DapreS2	554	4
S013	13	F	0	F13T0DapreS2	881	4
S030	30	M	0	M30T0DapreS2	902	4
S015	15	M	0	M15T0DapreS2	889	4
S018	18	M	0	M18T0DapreS2	866	4
S026	26	M	0	M26T0DapreS2	881	4
S214	14	M	2	M14T2DapreS2	853	4
S007	07	M	0	M07T0DapreS2	915	4
S202	02	F	2	F02T2DapreS2	849	4
S120	20	M	1	M20T1DapreS2	562	4
S222	22	F	2	F22T2DapreS2	837	4
S206	06	M	2	M06T2DapreS2	903	4
S212	12	M	2	M12T2DapreS2	789	4
S003	03	F	0	F03T0DapreS2	887	4
S101	01	F	1	F01T1DapreS2	701	4
S213	13	F	2	F13T2DapreS2	859	4
S209	09	F	2	F09T2DapreS2	898	4
S129	29	F	1	F29T1DapreS2	934	4
S216	16	M	2	M16T2DapreS2	745	4
S125	25	F	1	F25T1DapreS2	856	4
S118	18	M	1	M18T1DapreS2	864	4
S108	08	F	1	F08T1DapreS2	769	4
S017	17	M	0	M17T0DapreS2	817	4
S123	23	M	1	M23T1DapreS2	863	4
S005	05	M	0	M05T0DapreS2	873	4
S208	08	F	2	F08T2DapreS2	860	4
S001	01	F	0	F01T0DapreS2	838	4
S014	14	M	0	M14T0DapreS2	709	4
S207	07	M	2	M07T2DapreS2	904	4
S012	12	M	0	M12T0DapreS2	842	4
S220	20	M	2	M20T2DapreS2	601	4
S115	15	M	1	M15T1DapreS2	848	4
S002	02	F	0	F02T0DapreS2	907	4
S229	29	F	2	F29T2DapreS2	892	4
S205	05	M	2	M05T2DapreS2	854	4
S114	14	M	1	M14T1DapreS2	809	4
S020	20	M	0	M20T0DapreS2	626	4
S024	24	M	0	M24T0DapreS2	853	4
S119	19	F	1	F19T1DapreS2	620	4
S223	23	M	2	M23T2DapreS2	842	4
S009	09	F	0	F09T0DapreS2	841	4
S008	08	F	0	F08T0DapreS2	922	4
S112	12	M	1	M12T1DapreS2	547	4
S210	10	F	2	F10T2DapreS2	889	4
S113	13	F	1	F13T1DapreS2	772	4
S006	06	M	0	M06T0DapreS2	862	4
S215	15	M	2	M15T2DapreS2	810	4
S021	21	F	0	F21T0DapreS2	885	4
S016	16	M	0	M16T0DapreS2	586	4
S124	24	M	1	M24T1DapreS2	810	4
S107	07	M	1	M07T1DapreS2	869	4
S224	24	M	2	M24T2DapreS2	886	4
S029	29	F	0	F29T0DapreS2	927	4
S127	27	M	1	M27T1DapreS2	876	4
S019	19	F	0	F19T0DapreS2	653	4
